Credit Starting Balance,Email,Address,Identification Number,Last Name,Credit Account Number,Checking Starting Balance,Password,Savings Account Number,Credit Max,First Name,Checking Account Number,Date of Birth,Phone Number,Savings Starting Balance
-552.28,PeteDisney@disney.com,"506 W. University Ave, El Paso, TX 79968",66,Disney,3090,899.26,Pete*Disney!987,2090,9468,Pete,1090,"March 3, 1980",(915) 747-5006,4462.30
-1693.99,PinocchioDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",30,Disney,3029,861.22,Pinocchio*Disney!987,2029,5203,Pinocchio,1029,"February 29, 1956",(714) 781-4636,16.16
-1768.09,WinniePooh@disney.com,"508 W. University Ave, El Paso, TX 79968",68,Pooh,3092,1714.29,Winnie*Pooh!987,2092,9499,Winnie,1092,"November 30, 1946",(915) 747-5008,4814.30
-1081.38,DanielR@disney.com,"500 W. University Ave, El Paso, TX 79968",54,R,3078,108.21,Daniel*R!987,2078,6366,Daniel,1078,"March 6, 1999",(915) 747-5000,4166.32
-1936.25,IronMan@disney.com,"505 W. University Ave, El Paso, TX 79968",65,Man,3089,1483.37,Iron*Man!987,2089,3387,Iron,1089,"August 15, 1949",(915) 747-5005,351.75
-1014.92,CesarPadron@disney.com,"533 W. University Ave, El Paso, TX 79968",93,Padron,3051,1658.87,Cesar*Padron!987,2051,4803,Cesar,1051,"August 11, 1974",(915) 747-5033,2965.56
-489.70,DanielG@disney.com,"500 W. University Ave, El Paso, TX 79968",44,G,3068,1229.16,Daniel*G!987,2068,4201,Daniel,1068,"October 31, 1989",(915) 747-5000,1257.49
-1466.14,DanielW@disney.com,"500 W. University Ave, El Paso, TX 79968",59,W,3083,995.19,Daniel*W!987,2083,7161,Daniel,1083,"September 14, 1999",(915) 747-5000,4393.64
-404.92,BrandonBustamante@disney.com,"523 W. University Ave, El Paso, TX 79968",83,Bustamante,3041,1562.52,Brandon*Bustamante!987,2041,8084,Brandon,1041,"July 3, 1974",(915) 747-5023,2225.80
-583.92,R2D2@disney.com,"514 W. University Ave, El Paso, TX 79968",74,D2,3098,1265.60,R2*D2!987,2098,3398,R2,1098,"October 31, 1985",(915) 747-5014,3343.21
-830.20,DanielB@disney.com,"500 W. University Ave, El Paso, TX 79968",39,B,3063,886.52,Daniel*B!987,2063,8126,Daniel,1063,"October 26, 2011",(915) 747-5000,106.41
-1242.08,DanielE@disney.com,"500 W. University Ave, El Paso, TX 79968",42,E,3066,1027.97,Daniel*E!987,2066,7453,Daniel,1066,"September 13, 1956",(915) 747-5000,4555.39
-839.49,BeastDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",20,Disney,3019,1138.74,Beast*Disney!987,2019,9102,Beast,1019,"December 18, 1995",(714) 781-4636,425.40
-1746.89,StitchDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",36,Disney,3035,1778.19,Stitch*Disney!987,2035,4752,Stitch,1035,"January 27, 1948",(714) 781-4636,676.09
-1252.72,LorenzoMartinez@disney.com,"527 W. University Ave, El Paso, TX 79968",87,Martinez,3045,1935.10,Lorenzo*Martinez!987,2045,3981,Lorenzo,1045,"March 6, 1957",(915) 747-5027,4841.27
-1750.13,DanielA@disney.com,"1316 Disneyland Dr, Anaheim, CA 92802",38,A,3062,1598.81,Daniel*A!987,2062,3739,Daniel,1062,"June 22, 1978",(714) 781-4639,2872.69
-245.90,AlfredoArce@disney.com,"520 W. University Ave, El Paso, TX 79968",80,Arce,3038,1801.38,Alfredo*Arce!987,2038,9688,Alfredo,1038,"December 26, 1994",(915) 747-5020,1148.48
-257.37,DanielI@disney.com,"500 W. University Ave, El Paso, TX 79968",46,I,3070,33.91,Daniel*I!987,2070,8122,Daniel,1070,"November 8, 2012",(915) 747-5000,783.82
-1626.82,CinderellaDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",8,Disney,3007,1511.87,Cinderella*Disney!987,2007,5102,Cinderella,1007,"January 20, 1970",(714) 781-4636,1689.16
-1854.41,EvilQueen@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",29,Queen,3028,1871.01,Evil*Queen!987,2028,6311,Evil,1028,"October 17, 1987",(714) 781-4636,2594.68
-1465.07,C3PO@disney.com,"515 W. University Ave, El Paso, TX 79968",75,3PO,3099,216.35,C*3PO!987,2099,5491,C,1099,"February 27, 1975",(915) 747-5015,2224.44
-579.97,AlonsoMonarrez@disney.com,"530 W. University Ave, El Paso, TX 79968",90,Monarrez,3048,1526.77,Alonso*Monarrez!987,2048,4861,Alonso,1048,"April 13, 1997",(915) 747-5030,486.87
-1070.17,AnakinSkywalker@disney.com,"516 W. University Ave, El Paso, TX 79968",76,Skywalker,3100,1417.21,Anakin*Skywalker!987,2100,6635,Anakin,1100,"April 25, 1992",(915) 747-5016,3787.72
-1265.32,RicardoMendez@disney.com,"528 W. University Ave, El Paso, TX 79968",88,Mendez,3046,17.66,Ricardo*Mendez!987,2046,9722,Ricardo,1046,"September 12, 1996",(915) 747-5028,3376.55
-938.20,BryanAcosta@disney.com,"519 W. University Ave, El Paso, TX 79968",79,Acosta,3037,274.88,Bryan*Acosta!987,2037,5404,Bryan,1037,"June 4, 1973",(915) 747-5019,4459.83
-1706.27,MinnieMouse@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",3,Mouse,3002,966.83,Minnie*Mouse!987,2002,8750,Minnie,1002,"May 17, 1959",(714) 781-4636,3640.50
-671.12,DanielD@disney.com,"500 W. University Ave, El Paso, TX 79968",41,D,3065,730.60,Daniel*D!987,2065,8583,Daniel,1065,"December 21, 2000",(915) 747-5000,1470.79
-1712.22,DanielN@disney.com,"500 W. University Ave, El Paso, TX 79968",50,N,3074,20.51,Daniel*N!987,2074,4942,Daniel,1074,"November 30, 2000",(915) 747-5000,3606.50
-1506.23,SimbaKing@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",24,King,3023,1133.22,Simba*King!987,2023,3348,Simba,1023,"July 1, 1976",(714) 781-4636,83.27
-1568.44,HerculesDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",33,Disney,3032,1742.57,Hercules*Disney!987,2032,8203,Hercules,1032,"November 2, 1955",(714) 781-4636,3573.70
-572.70,QuasimodoDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",32,Disney,3031,111.41,Quasimodo*Disney!987,2031,4391,Quasimodo,1031,"December 9, 2013",(714) 781-4636,3804.56
-1144.55,OsvaldoNevarez@disney.com,"532 W. University Ave, El Paso, TX 79968",92,Nevarez,3050,218.39,Osvaldo*Nevarez!987,2050,3371,Osvaldo,1050,"December 15, 1997",(915) 747-5032,584.41
-1833.88,MickeyMouse@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",1,Mouse,3000,2243.55,Mickey*Mouse!987,2000,6637,Mickey,1000,"July 11, 2009",(714) 781-4636,191.96
-1129.04,AbelCarrasco@disney.com,"524 W. University Ave, El Paso, TX 79968",84,Carrasco,3042,556.05,Abel*Carrasco!987,2042,6105,Abel,1042,"December 12, 1994",(915) 747-5024,721.24
-1600.21,JasmineDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",10,Disney,3009,1661.70,Jasmine*Disney!987,2009,3855,Jasmine,1009,"June 25, 1955",(714) 781-4636,213.41
-747.39,AladdinDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",11,Disney,3010,916.14,Aladdin*Disney!987,2010,7064,Aladdin,1010,"April 20, 1989",(714) 781-4636,2133.01
-1659.74,ObiKenobi@disney.com,"517 W. University Ave, El Paso, TX 79968",77,Kenobi,3101,1923.93,Obi*Kenobi!987,2101,3977,Obi,1101,"April 26, 1972",(915) 747-5017,3936.15
-1113.62,DanielL@disney.com,"500 W. University Ave, El Paso, TX 79968",49,L,3073,435.40,Daniel*L!987,2073,9429,Daniel,1073,"May 18, 1996",(915) 747-5000,2368.24
-1347.20,DanielMejia@disney.com,"1315 Disneyland Dr, Anaheim, CA 92802",37,Mejia,3061,616.58,Daniel*Mejia!987,2061,6491,Daniel,1061,"May 30, 2000",(714) 781-4638,3794.07
-1875.39,AuroraDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",14,Disney,3013,217.65,Aurora*Disney!987,2013,8871,Aurora,1013,"May 10, 1961",(714) 781-4636,2678.91
-1063.60,SimbaDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",12,Disney,3011,448.71,Simba*Disney!987,2011,9729,Simba,1011,"December 27, 1997",(714) 781-4636,2466.54
-784.68,CezarBarba@disney.com,"521 W. University Ave, El Paso, TX 79968",81,Barba,3039,1919.93,Cezar*Barba!987,2039,8731,Cezar,1039,"February 4, 1929",(915) 747-5021,258.93
-55.93,DanielO@disney.com,"500 W. University Ave, El Paso, TX 79968",51,O,3075,818.14,Daniel*O!987,2075,9814,Daniel,1075,"August 15, 1963",(915) 747-5000,4900.72
-1478.84,YodaJedi@disney.com,"518 W. University Ave, El Paso, TX 79968",78,Jedi,3102,462.24,Yoda*Jedi!987,2102,4506,Yoda,1102,"June 11, 2002",(915) 747-5018,3971.52
-1938.81,DanielT@disney.com,"500 W. University Ave, El Paso, TX 79968",56,T,3080,588.63,Daniel*T!987,2080,7004,Daniel,1080,"January 26, 1965",(915) 747-5000,4752.75
-826.94,ElizabethReyes Jimenez@disney.com,"537 W. University Ave, El Paso, TX 79968",97,Reyes Jimenez,3055,1511.45,Elizabeth*Reyes Jimenez!987,2055,6733,Elizabeth,1055,"October 21, 1966",(915) 747-5037,1222.21
-173.07,TiggerPooh@disney.com,"509 W. University Ave, El Paso, TX 79968",69,Pooh,3093,1796.71,Tigger*Pooh!987,2093,6037,Tigger,1093,"June 19, 2005",(915) 747-5009,783.67
-1205.59,DanielC@disney.com,"500 W. University Ave, El Paso, TX 79968",40,C,3064,241.48,Daniel*C!987,2064,6813,Daniel,1064,"June 11, 1983",(915) 747-5000,4942.69
-925.86,TinkerBell@disney.com,"503 W. University Ave, El Paso, TX 79968",63,Bell,3087,1407.01,Tinker*Bell!987,2087,3416,Tinker,1087,"December 16, 2007",(915) 747-5003,4055.41
-18.91,AxelDiaz@disney.com,"525 W. University Ave, El Paso, TX 79968",85,Diaz,3043,358.56,Axel*Diaz!987,2043,8001,Axel,1043,"May 28, 1977",(915) 747-5025,2272.69
-562.38,RuthTrejo@disney.com,"539 W. University Ave, El Paso, TX 79968",99,Trejo,3057,175.56,Ruth*Trejo!987,2057,7736,Ruth,1057,"September 12, 1946",(915) 747-5039,4165.31
-1600.28,UrselaMermaid@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",19,Mermaid,3018,1525.95,Ursela*Mermaid!987,2018,6452,Ursela,1018,"August 24, 1956",(714) 781-4636,1543.14
-25.00,DanielH@disney.com,"500 W. University Ave, El Paso, TX 79968",45,H,3069,1565.86,Daniel*H!987,2069,6019,Daniel,1069,"December 22, 1989",(915) 747-5000,3940.58
-980.70,DanielJ@disney.com,"500 W. University Ave, El Paso, TX 79968",47,J,3071,1956.59,Daniel*J!987,2071,9706,Daniel,1071,"December 8, 1929",(915) 747-5000,416.29
-872.72,MulanDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",34,Disney,3033,150.10,Mulan*Disney!987,2033,5427,Mulan,1033,"February 21, 1948",(714) 781-4636,4878.35
-506.82,PlutoDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",5,Disney,3004,223.02,Pluto*Disney!987,2004,3633,Pluto,1004,"August 20, 2005",(714) 781-4636,2652.08
-1886.33,DanielP@disney.com,"500 W. University Ave, El Paso, TX 79968",52,P,3076,597.32,Daniel*P!987,2076,9116,Daniel,1076,"September 10, 1997",(915) 747-5000,3037.79
-1354.66,DanielU@disney.com,"500 W. University Ave, El Paso, TX 79968",57,U,3081,976.28,Daniel*U!987,2081,3576,Daniel,1081,"March 19, 1989",(915) 747-5000,3683.18
-58.34,DumboElephant@disney.com,"511 W. University Ave, El Paso, TX 79968",71,Elephant,3095,1023.44,Dumbo*Elephant!987,2095,6831,Dumbo,1095,"January 12, 1943",(915) 747-5011,4424.46
-547.12,BuzzLightyear@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",17,Lightyear,3016,1794.77,Buzz*Lightyear!987,2016,4735,Buzz,1016,"March 24, 1932",(714) 781-4636,487.27
-1008.55,WoodyDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",16,Disney,3015,1181.48,Woody*Disney!987,2015,6512,Woody,1015,"January 25, 2009",(714) 781-4636,1565.61
-43.46,ArielDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",9,Disney,3008,798.34,Ariel*Disney!987,2008,6203,Ariel,1008,"June 4, 1944",(714) 781-4636,2452.58
-1981.62,DanielX@disney.com,"500 W. University Ave, El Paso, TX 79968",60,X,3084,882.54,Daniel*X!987,2084,6766,Daniel,1084,"October 22, 1945",(915) 747-5000,34.67
-1436.30,DanielQ@disney.com,"500 W. University Ave, El Paso, TX 79968",53,Q,3077,1183.10,Daniel*Q!987,2077,6809,Daniel,1077,"September 25, 1943",(915) 747-5000,1037.68
-528.74,JeffreyVanarsdall@disney.com,"540 W. University Ave, El Paso, TX 79968",100,Vanarsdall,3058,755.28,Jeffrey*Vanarsdall!987,2058,3685,Jeffrey,1058,"May 20, 1953",(915) 747-5040,373.78
-528.08,CaptainHook@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",27,Hook,3026,484.05,Captain*Hook!987,2026,8436,Captain,1026,"July 30, 1967",(714) 781-4636,4445.20
-790.12,BelleDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",21,Disney,3020,1947.03,Belle*Disney!987,2020,5572,Belle,1020,"September 12, 1955",(714) 781-4636,1361.39
-751.14,LiloDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",35,Disney,3034,1822.95,Lilo*Disney!987,2034,5591,Lilo,1034,"May 31, 1996",(714) 781-4636,4893.41
-605.31,EyanMeraz@disney.com,"529 W. University Ave, El Paso, TX 79968",89,Meraz,3047,633.39,Eyan*Meraz!987,2047,4542,Eyan,1047,"August 7, 1959",(915) 747-5029,1023.71
-1508.49,JafarAladdin@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",18,Aladdin,3017,1811.01,Jafar*Aladdin!987,2017,9507,Jafar,1017,"March 27, 1933",(714) 781-4636,389.03
-1495.52,PeterParker@disney.com,"504 W. University Ave, El Paso, TX 79968",64,Parker,3088,672.93,Peter*Parker!987,2088,5882,Peter,1088,"July 19, 1963",(915) 747-5004,915.09
-1789.47,CaptainAmerica@disney.com,"507 W. University Ave, El Paso, TX 79968",67,America,3091,642.69,Captain*America!987,2091,4409,Captain,1091,"December 5, 1958",(915) 747-5007,4967.83
-795.25,AlanLicerio@disney.com,"526 W. University Ave, El Paso, TX 79968",86,Licerio,3044,413.43,Alan*Licerio!987,2044,4006,Alan,1044,"April 19, 1946",(915) 747-5026,1924.91
-1945.24,DaleDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",7,Disney,3006,1994.49,Dale*Disney!987,2006,7091,Dale,1006,"November 7, 1966",(714) 781-4636,2220.87
-232.49,GastonDisney@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",25,Disney,3024,391.96,Gaston*Disney!987,2024,5554,Gaston,1024,"June 28, 1992",(714) 781-4636,195.88
-516.25,ScarLion@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",23,Lion,3022,498.98,Scar*Lion!987,2022,4897,Scar,1022,"April 13, 2011",(714) 781-4636,979.02
-491.21,PeterPan@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",15,Pan,3014,1889.73,Peter*Pan!987,2014,8453,Peter,1014,"September 18, 1966",(714) 781-4636,2763.26
-908.86,DanielZ@disney.com,"502 W. University Ave, El Paso, TX 79968",62,Z,3086,349.46,Daniel*Z!987,2086,8628,Daniel,1086,"January 2, 1940",(915) 747-5002,4881.84
-130.48,RoyDisney@disney.com,"513 W. University Ave, El Paso, TX 79968",73,Disney,3097,1484.62,Roy*Disney!987,2097,3140,Roy,1097,"August 1, 1950",(915) 747-5013,2685.79
-1025.81,HectorReyes@disney.com,"536 W. University Ave, El Paso, TX 79968",96,Reyes,3054,1479.22,Hector*Reyes!987,2054,9423,Hector,1054,"June 9, 1968",(915) 747-5036,1697.59
-509.16,PrinceEric@disney.com,"1313 Disneyland Dr, Anaheim, CA 92802",31,Eric,3030,818.81,Prince*Eric!987,2030,4418,Prince,1030,"May 23, 1962",(714) 781-4636,1540.55
-517.38,LuisRenteria@disney.com,"535 W. University Ave, El Paso, TX 79968",95,Renteria,3053,618.12,Luis*Renteria!987,2053,8597,Luis,1053,"September 1, 1954",(915) 747-5035,4448.84
-787.37,WaltDisney@disney.com,"512 W. University Ave, El Paso, TX 79968",72,Disney,3096,779.72,Walt*Disney!987,2096,3044,Walt,1096,"October 28, 1954",(915) 747-5012,1812.28
-1141.57,DanielK@disney.com,"500 W. University Ave, El Paso, TX 79968",48,K,3072,285.98,Daniel*K!987,2072,5904,Daniel,1072,"April 19, 1978",(915) 747-5000,4880.17
,,,,,,,,,,,,,,
,,,,,,,s,,,,,,,
