First Name,Last Name,Date of Birth,Identification Number,Address,Phone Number,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance,Email,Password,Credit Max
Brandon,Bustamante,"July 3, 1974",83,"523 W. University Ave, El Paso, TX 79968",(915) 747-5023,1041,2041,3041,6533.63,2225.8,-404.92,BrandonBustamante@disney.com,Brandon*Bustamante!987,8084.0
R2,D2,"October 31, 1985",74,"514 W. University Ave, El Paso, TX 79968",(915) 747-5014,1098,2098,3098,1265.6,3343.21,-583.92,R2D2@disney.com,R2*D2!987,3398.0
Daniel,B,"October 26, 2011",39,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1063,2063,3063,886.52,106.41,-830.2,DanielB@disney.com,Daniel*B!987,8126.0
Daniel,E,"September 13, 1956",42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1066,2066,3066,1027.97,4555.39,-1242.08,DanielE@disney.com,Daniel*E!987,7453.0
Beast,Disney,"December 18, 1995",20,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1019,2019,3019,1165.58,425.4,-839.49,BeastDisney@disney.com,Beast*Disney!987,9102.0
Stitch,Disney,"January 27, 1948",36,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1035,2035,3035,1807.44,676.09,-1746.89,StitchDisney@disney.com,Stitch*Disney!987,4752.0
Lorenzo,Martinez,"March 6, 1957",87,"527 W. University Ave, El Paso, TX 79968",(915) 747-5027,1045,2045,3045,6922.740000000001,4841.27,-1252.72,LorenzoMartinez@disney.com,Lorenzo*Martinez!987,3981.0
Daniel,A,"June 22, 1978",38,"1316 Disneyland Dr, Anaheim, CA 92802",(714) 781-4639,1062,2062,3062,1598.81,2872.69,-1750.13,DanielA@disney.com,Daniel*A!987,3739.0
Alfredo,Arce,"December 26, 1994",80,"520 W. University Ave, El Paso, TX 79968",(915) 747-5020,1038,2038,3038,6785.75,1148.48,-245.9,AlfredoArce@disney.com,Alfredo*Arce!987,9688.0
Daniel,I,"November 8, 2012",46,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1070,2070,3070,33.91,783.82,-257.37,DanielI@disney.com,Daniel*I!987,8122.0
Cinderella,Disney,"January 20, 1970",8,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1007,2007,3007,1540.6799999999998,1610.16,-1626.82,CinderellaDisney@disney.com,Cinderella*Disney!987,5102.0
Evil,Queen,"October 17, 1987",29,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1028,2028,3028,1871.01,2508.68,-1854.41,EvilQueen@disney.com,Evil*Queen!987,6311.0
C,3PO,"February 27, 1975",75,"515 W. University Ave, El Paso, TX 79968",(915) 747-5015,1099,2099,3099,216.35,2224.44,-1465.07,C3PO@disney.com,C*3PO!987,5491.0
Alonso,Monarrez,"April 13, 1997",90,"530 W. University Ave, El Paso, TX 79968",(915) 747-5030,1048,2048,3048,6515.46,486.87,-579.97,AlonsoMonarrez@disney.com,Alonso*Monarrez!987,4861.0
Anakin,Skywalker,"April 25, 1992",76,"516 W. University Ave, El Paso, TX 79968",(915) 747-5016,1100,2100,3100,1417.21,3787.72,-1070.17,AnakinSkywalker@disney.com,Anakin*Skywalker!987,6635.0
Ricardo,Mendez,"September 12, 1996",88,"528 W. University Ave, El Paso, TX 79968",(915) 747-5028,1046,2046,3046,4990.82,3376.55,-1265.32,RicardoMendez@disney.com,Ricardo*Mendez!987,9722.0
Bryan,Acosta,"June 4, 1973",79,"519 W. University Ave, El Paso, TX 79968",(915) 747-5019,1037,2037,3037,5226.42,4459.83,-938.2,BryanAcosta@disney.com,Bryan*Acosta!987,5404.0
Minnie,Mouse,"May 17, 1959",3,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1002,2002,3002,996.33,3561.5,-1706.27,MinnieMouse@disney.com,Minnie*Mouse!987,8750.0
Daniel,D,"December 21, 2000",41,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1065,2065,3065,730.6,1470.79,-671.12,DanielD@disney.com,Daniel*D!987,8583.0
Daniel,N,"November 30, 2000",50,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1074,2074,3074,20.51,3606.5,-1712.22,DanielN@disney.com,Daniel*N!987,4942.0
Simba,King,"July 1, 1976",24,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1023,2023,3023,1144.53,83.27,-1506.23,SimbaKing@disney.com,Simba*King!987,3348.0
Hercules,Disney,"November 2, 1955",33,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1032,2032,3032,1742.57,3488.7,-1568.44,HerculesDisney@disney.com,Hercules*Disney!987,8203.0
Quasimodo,Disney,"December 9, 2013",32,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1031,2031,3031,136.99,3804.56,-572.7,QuasimodoDisney@disney.com,Quasimodo*Disney!987,4391.0
Osvaldo,Nevarez,"December 15, 1997",92,"532 W. University Ave, El Paso, TX 79968",(915) 747-5032,1050,2050,3050,5206.56,584.41,-1144.55,OsvaldoNevarez@disney.com,Osvaldo*Nevarez!987,3371.0
Mickey,Mouse,"July 11, 2009",1,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1000,2000,3000,2261.52,291.96000000000004,-1533.88,MickeyMouse@disney.com,Mickey*Mouse!987,6637.0
Abel,Carrasco,"December 12, 1994",84,"524 W. University Ave, El Paso, TX 79968",(915) 747-5024,1042,2042,3042,5516.76,721.24,-1129.04,AbelCarrasco@disney.com,Abel*Carrasco!987,6105.0
Jasmine,Disney,"June 25, 1955",10,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1009,2009,3009,1690.5900000000001,154.41,-1600.21,JasmineDisney@disney.com,Jasmine*Disney!987,3855.0
Aladdin,Disney,"April 20, 1989",11,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1010,2010,3010,941.3,2039.0100000000002,-747.39,AladdinDisney@disney.com,Aladdin*Disney!987,7064.0
Obi,Kenobi,"April 26, 1972",77,"517 W. University Ave, El Paso, TX 79968",(915) 747-5017,1101,2101,3101,1923.93,3936.15,-1659.74,ObiKenobi@disney.com,Obi*Kenobi!987,3977.0
Daniel,L,"May 18, 1996",49,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1073,2073,3073,435.4,2368.24,-1113.62,DanielL@disney.com,Daniel*L!987,9429.0
Daniel,Mejia,"May 30, 2000",37,"1315 Disneyland Dr, Anaheim, CA 92802",(714) 781-4638,1061,2061,3061,557.8800000000001,3794.07,-1347.2,DanielMejia@disney.com,Daniel*Mejia!987,6491.0
Aurora,Disney,"May 10, 1961",14,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1013,2013,3013,252.12,2678.91,-1875.39,AuroraDisney@disney.com,Aurora*Disney!987,8871.0
Simba,Disney,"December 27, 1997",12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1011,2011,3011,488.0,2366.54,-1063.6,SimbaDisney@disney.com,Simba*Disney!987,9729.0
Cezar,Barba,"February 4, 1929",81,"521 W. University Ave, El Paso, TX 79968",(915) 747-5021,1039,2039,3039,6868.9400000000005,258.93,-784.68,CezarBarba@disney.com,Cezar*Barba!987,8731.0
Daniel,O,"August 15, 1963",51,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1075,2075,3075,818.14,4900.72,-55.93,DanielO@disney.com,Daniel*O!987,9814.0
Yoda,Jedi,"June 11, 2002",78,"518 W. University Ave, El Paso, TX 79968",(915) 747-5018,1102,2102,3102,462.24,3971.52,-1478.84,YodaJedi@disney.com,Yoda*Jedi!987,4506.0
Daniel,T,"January 26, 1965",56,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1080,2080,3080,588.63,4752.75,-1938.81,DanielT@disney.com,Daniel*T!987,7004.0
Elizabeth,Reyes Jimenez,"October 21, 1966",97,"537 W. University Ave, El Paso, TX 79968",(915) 747-5037,1055,2055,3055,6482.2,1222.21,-826.94,ElizabethReyes Jimenez@disney.com,Elizabeth*Reyes Jimenez!987,6733.0
Tigger,Pooh,"June 19, 2005",69,"509 W. University Ave, El Paso, TX 79968",(915) 747-5009,1093,2093,3093,1796.71,783.67,-173.07,TiggerPooh@disney.com,Tigger*Pooh!987,6037.0
Daniel,C,"June 11, 1983",40,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1064,2064,3064,241.48,4942.69,-1205.59,DanielC@disney.com,Daniel*C!987,6813.0
Tinker,Bell,"December 16, 2007",63,"503 W. University Ave, El Paso, TX 79968",(915) 747-5003,1087,2087,3087,1407.01,4055.41,-925.86,TinkerBell@disney.com,Tinker*Bell!987,3416.0
Axel,Diaz,"May 28, 1977",85,"525 W. University Ave, El Paso, TX 79968",(915) 747-5025,1043,2043,3043,5324.09,2272.69,-18.91,AxelDiaz@disney.com,Axel*Diaz!987,8001.0
Ruth,Trejo,"September 12, 1946",99,"539 W. University Ave, El Paso, TX 79968",(915) 747-5039,1057,2057,3057,5146.06,4165.31,-562.38,RuthTrejo@disney.com,Ruth*Trejo!987,7736.0
Ursela,Mermaid,"August 24, 1956",19,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1018,2018,3018,1525.95,1487.14,-1600.28,UrselaMermaid@disney.com,Ursela*Mermaid!987,6452.0
Daniel,H,"December 22, 1989",45,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1069,2069,3069,1565.86,3940.58,-25.0,DanielH@disney.com,Daniel*H!987,6019.0
Daniel,J,"December 8, 1929",47,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1071,2071,3071,1956.59,416.29,-980.7,DanielJ@disney.com,Daniel*J!987,9706.0
Mulan,Disney,"February 21, 1948",34,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1033,2033,3033,186.57999999999998,4878.35,-872.72,MulanDisney@disney.com,Mulan*Disney!987,5427.0
Pluto,Disney,"August 20, 2005",5,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1004,2004,3004,223.02,2575.08,-506.82,PlutoDisney@disney.com,Pluto*Disney!987,3633.0
Daniel,P,"September 10, 1997",52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1076,2076,3076,597.32,3037.79,-1886.33,DanielP@disney.com,Daniel*P!987,9116.0
Daniel,U,"March 19, 1989",57,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1081,2081,3081,976.28,3683.18,-1354.66,DanielU@disney.com,Daniel*U!987,3576.0
Dumbo,Elephant,"January 12, 1943",71,"511 W. University Ave, El Paso, TX 79968",(915) 747-5011,1095,2095,3095,1023.44,4424.46,-58.34,DumboElephant@disney.com,Dumbo*Elephant!987,6831.0
Buzz,Lightyear,"March 24, 1932",17,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1016,2016,3016,1794.77,397.27,-547.12,BuzzLightyear@disney.com,Buzz*Lightyear!987,4735.0
Woody,Disney,"January 25, 2009",16,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1015,2015,3015,1215.52,1565.61,-1008.55,WoodyDisney@disney.com,Woody*Disney!987,6512.0
Ariel,Disney,"June 4, 1944",9,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1008,2008,3008,845.22,2395.58,-43.46,ArielDisney@disney.com,Ariel*Disney!987,6203.0
Daniel,X,"October 22, 1945",60,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1084,2084,3084,882.54,34.67,-1981.62,DanielX@disney.com,Daniel*X!987,6766.0
Daniel,Q,"September 25, 1943",53,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1077,2077,3077,1183.1,1037.68,-1436.3,DanielQ@disney.com,Daniel*Q!987,6809.0
Jeffrey,Vanarsdall,"May 20, 1953",100,"540 W. University Ave, El Paso, TX 79968",(915) 747-5040,1058,2058,3058,5704.889999999999,373.78,-528.74,JeffreyVanarsdall@disney.com,Jeffrey*Vanarsdall!987,3685.0
Captain,Hook,"July 30, 1967",27,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1026,2026,3026,484.05,4445.2,-528.08,CaptainHook@disney.com,Captain*Hook!987,8436.0
Belle,Disney,"September 12, 1955",21,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1020,2020,3020,1947.03,1273.39,-790.12,BelleDisney@disney.com,Belle*Disney!987,5572.0
Lilo,Disney,"May 31, 1996",35,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1034,2034,3034,1822.95,4834.41,-751.14,LiloDisney@disney.com,Lilo*Disney!987,5591.0
Eyan,Meraz,"August 7, 1959",89,"529 W. University Ave, El Paso, TX 79968",(915) 747-5029,1047,2047,3047,5598.6900000000005,1023.71,-605.31,EyanMeraz@disney.com,Eyan*Meraz!987,4542.0
Jafar,Aladdin,"March 27, 1933",18,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1017,2017,3017,1823.37,389.03,-1508.49,JafarAladdin@disney.com,Jafar*Aladdin!987,9507.0
Peter,Parker,"July 19, 1963",64,"504 W. University Ave, El Paso, TX 79968",(915) 747-5004,1088,2088,3088,672.93,915.09,-1495.52,PeterParker@disney.com,Peter*Parker!987,5882.0
Captain,America,"December 5, 1958",67,"507 W. University Ave, El Paso, TX 79968",(915) 747-5007,1091,2091,3091,642.69,4967.83,-1789.47,CaptainAmerica@disney.com,Captain*America!987,4409.0
Alan,Licerio,"April 19, 1946",86,"526 W. University Ave, El Paso, TX 79968",(915) 747-5026,1044,2044,3044,5379.39,1924.91,-795.25,AlanLicerio@disney.com,Alan*Licerio!987,4006.0
Dale,Disney,"November 7, 1966",7,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1006,2006,3006,2044.88,2166.87,-1945.24,DaleDisney@disney.com,Dale*Disney!987,7091.0
Gaston,Disney,"June 28, 1992",25,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1024,2024,3024,391.96,43.879999999999995,-232.49,GastonDisney@disney.com,Gaston*Disney!987,5554.0
Scar,Lion,"April 13, 2011",23,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1022,2022,3022,498.98,914.02,-516.25,ScarLion@disney.com,Scar*Lion!987,4897.0
Peter,Pan,"September 18, 1966",15,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1014,2014,3014,1889.73,2663.26,-491.21,PeterPan@disney.com,Peter*Pan!987,8453.0
Daniel,Z,"January 2, 1940",62,"502 W. University Ave, El Paso, TX 79968",(915) 747-5002,1086,2086,3086,349.46,4881.84,-908.86,DanielZ@disney.com,Daniel*Z!987,8628.0
Roy,Disney,"August 1, 1950",73,"513 W. University Ave, El Paso, TX 79968",(915) 747-5013,1097,2097,3097,1484.62,2685.79,-130.48,RoyDisney@disney.com,Roy*Disney!987,3140.0
Hector,Reyes,"June 9, 1968",96,"536 W. University Ave, El Paso, TX 79968",(915) 747-5036,1054,2054,3054,6442.740000000001,1697.59,-1025.81,HectorReyes@disney.com,Hector*Reyes!987,9423.0
Prince,Eric,"May 23, 1962",31,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1030,2030,3030,818.81,1483.55,-509.16,PrinceEric@disney.com,Prince*Eric!987,4418.0
Luis,Renteria,"September 1, 1954",95,"535 W. University Ave, El Paso, TX 79968",(915) 747-5035,1053,2053,3053,5618.12,4448.84,-517.38,LuisRenteria@disney.com,Luis*Renteria!987,8597.0
Walt,Disney,"October 28, 1954",72,"512 W. University Ave, El Paso, TX 79968",(915) 747-5012,1096,2096,3096,779.72,1812.28,-787.37,WaltDisney@disney.com,Walt*Disney!987,3044.0
Daniel,K,"April 19, 1978",48,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1072,2072,3072,285.98,4880.17,-1141.57,DanielK@disney.com,Daniel*K!987,5904.0
